Designator,Mid X,Mid Y,Layer,Rotation
AE1,125.7,-136.6,top,180
C1,187.25,-125.365,top,90
C2,134.7,-126.32,top,-45
C3,136.09,-125.06,top,-45
C4,149.68,-123.54,top,-45
C5,125.8,-135.7,top,0
C6,136.98,-123.94,top,-45
C7,125.8,-132.1,top,0
C8,138.7,-121.95,top,-90
C9,191.58,-120.005,top,-90
C10,187,-119.965,top,-90
C11,141.67,-111.03,top,135
C12,136.2,-110.9,top,135
C13,135.9,-117.8,top,135
C14,137.3,-116.5,top,135
C15,131.3,-113.3,top,135
C16,162.87,-109.46,top,180
C17,155.23,-105.73,top,180
C18,180.66,-104.08,top,180
C19,191.66,-116.17,top,180
C20,191.66,-110.97,top,180
C21,190.46,-104.09,top,180
C22,116.65,-127.715,top,0
C23,134.07,-98.8,top,0
C24,139.96,-102.55,top,90
C25,127.52,-102.55,top,0
C26,127.97,-105.155,top,-90
C27,127.97,-100.085,top,-90
C28,189.96,-132.04,top,180
C29,113.22,-100.18,top,0
C30,113.22,-101.55,top,0
C31,150.2,-126.5,top,135
C32,154.2,-122.4,top,135
C36,179.9,-131.9,top,-90
C37,189.96,-125.365,top,90
C38,192.7,-125.365,top,90
C39,195.41,-125.365,top,90
C40,203.41,-103.93,top,90
C41,205.35,-103.84,top,90
C42,155.23,-103.39,top,180
C43,155.24,-101.01,top,180
C44,155.25,-98.6,top,180
CN1,197.25,-136.5,top,0
D1,205,-129.8,top,180
D2,201.64,-112.34,top,0
D3,171,-119.1,top,90
D4,123.83,-102.55,top,180
D5,144.87,-133.33,top,180
D6,104.8,-124.7,top,180
D7,173.5,-119.1,top,-90
D8,176,-119.1,top,90
D9,178.4,-119.11,top,-90
D10,105.84,-107.66,top,180
D11,204.03,-122.49,top,90
D12,182.69,-110.51,top,0
D13,182.69,-115.82,top,0
J1,211.75,-108.5,top,90
J2,97.82,-122.35,top,90
J3,121.7,-91.55,top,0
J4,211.75,-122.49,top,90
J5,196.68,-91.77,top,0
J6,156.72,-116.35,top,90
J7,156.68,-113.1,top,90
J8,104.8,-96.5,top,-90
J9,162.95,-113.920001,top,0
J10,173.49,-113.41,top,0
J11,146.93,-95.76,top,0
J12,143.22,-95.76,top,0
J13,177.97,-89.97,top,-90
J14,177.97,-138.23,top,-90
J15,156.126,-89.97,top,-90
J16,160.19,-138.23,top,-90
J17,173.49,-109.42,top,0
J18,173.46,-129.23,top,90
J19,177.01,-109.42,top,0
J20,177.01,-113.41,top,0
J21,209,-93.59,top,-90
J22,186.08,-107.56,top,-90
L2,125.32,-133.88,top,90
L3,137.57,-121.97,top,90
L4,183.97,-131.24,top,-90
R1,138.76,-128.71,top,-90
R4,206.4,-111.28,top,-90
R5,201.47,-106.27,top,180
R6,206.05,-126.74,top,-90
R7,205.14,-119.3,top,90
R8,204.78,-115.56,top,0
R9,189.34,-118.865,top,0
R10,181.93,-131.97,top,-90
R11,110.13,-106.81,top,0
R12,113.22,-103.15,top,180
R13,112.405,-128.855,top,180
R14,136.4,-97.8,top,-90
R15,201.41,-117.01,top,180
R16,197.94,-125.8,top,90
R17,133.39,-127.81,top,135
R20,188.51,-110.43,top,-90
R21,141.74,-131.09,top,90
R22,166.72,-106.84,top,180
R23,155.25,-96.49,top,180
R24,111,-124,top,180
R25,111,-125.27,top,180
R26,108.94,-124.7,top,90
R27,108.94,-121.815,top,90
R28,108.93,-126.945,top,90
R29,121.34,-124.275,top,-90
R30,122.05,-126.18,top,180
R31,122.05,-122.37,top,180
R32,120.73,-128.265,top,180
R33,120.53,-120.765,top,180
R34,134.92,-106.05,top,0
R35,129.78,-103.435,top,0
R36,129.78,-101.665,top,180
R37,140.29,-104.455,top,0
R38,140.28,-100.645,top,0
R39,205.6,-131.4,top,180
R40,111.9,-109.37,top,0
R41,110.98,-108.06,top,0
R42,112.54,-110.69,top,0
R43,185.42,-114.54,top,90
R44,185.07,-111.91,top,-90
R45,182.69,-112.44,top,180
R46,182.69,-114.03,top,180
R47,204.32,-107.56,top,180
R48,204.31,-109.38,top,180
R49,200.15,-124.02,top,-90
R50,201.42,-124.01,top,-90
R51,109.12,-113.6,top,-90
R52,114.56,-113.579999,top,90
R53,112.41,-113.6,top,-90
R54,110.64,-113.59,top,90
R55,143.11,-131.4,top,90
SW1,179.1,-100.255,top,0
SW2,188.4,-100.285,top,0
SW3,187.24,-136.27,top,180
TP1,124.9,-126.18,top,90
TP2,124.98,-122.37,top,90
TP3,142.62,-104.455,top,90
TP4,142.62,-100.645,top,90
TP5,126.7,-124.275,top,90
TP6,144.32,-102.55,top,90
U1,144.872542,-117.132441,top,45
U2,191.67,-108.58,top,90
U3,183.015,-122.42,top,0
U4,191.73,-113.53,top,90
U5,161.38,-103.2,top,90
U6,116.4,-124.3,top,90
U7,134.83,-102.55,top,0
X1,152.5,-124.8,top,45
Y1,134.2,-112.6,top,-45
